title,company,location,duration,stipend
Content Writing,ViralChilly,Jaipur,4 Months,"₹ 3,000 - 5,000 /month"
Graphic Design,StoryMirror Infotech Private Limited,Mumbai,3 Months,"₹ 8,000 - 12,000 /month"
Video Editing/Making,TechDr Healthcare,Hyderabad,6 Months,"₹ 10,000 - 12,000 /month"
Digital Marketing,ONergy Solar,Kolkata,6 Months,"₹ 5,000 - 8,000 /month"
Recruitment,ONergy Solar,Kolkata,4 Months,"₹ 3,000 - 5,000 /month"
Creative Writing,StoryMirror Infotech Private Limited,Mumbai,3 Months,"₹ 8,000 - 15,000 /month"
Sales and Marketing,Anirah Advisory Llp,Ahmedabad,6 Months,"₹ 9,000 - 35,000 /month"
Graphic Design,Stashpro,Pune,6 Months,"₹ 12,000 - 20,000 /month"
Inside Sales,YES Germany,Balewadi,6 Months,"₹ 7,000 - 12,000 /month"
Digital Marketing,Urbanrise Landmark Realty Private Limited,Ahmedabad,1 Month,"₹ 13,000 - 20,000 /month"
